Province,id,population,percentage
Province One,1,"49,72,021",17.03,
Madhesh,2,"61,26,288",20.98,
Bagmati,3,"60,84,042",20.84,
Gandaki,4,"24,79,745",8.49,
Lumbini,5,"51,24,225",17.55,
Karnali,6,"16,94,889",5.80 ,
Sudoorpashchim,7,"27,11,270",9.28,
