Country Name,aream,2020,total area rank
Singapore,281,729,189
Sint Maarten,13,34,218
Slovakia,"18,932","49,034",130
Slovenia,"7,827","20,271",154
Solomon Islands,"11,740","30,407",144
Somalia,"2,46,201","6,37,657",43
South Africa,"4,71,359","12,20,813",25
South Sudan,"2,48,777","6,44,329",42
Spain,"1,95,361","5,05,983",52
Sri Lanka,"25,332","65,610",123
Sudan,"7,10,693","18,40,687",16
Suriname,"63,251","1,63,820",92
Sweden,"1,72,752","4,47,425",56
Switzerland,"15,942","41,290",135
Syria,"71,498","1,85,180",89
Taiwan,"13,976","36,197",137
Tajikistan,"54,595","1,41,400",96
Tanzania,"3,66,311","9,48,740",31
Thailand,"1,98,117","5,13,120",51
Togo,"21,854","56,600",126
Tonga,251,650,188
Trinidad and Tobago,"1,981","5,130",172
Tunisia,"63,170","1,63,610",93
Turkey,"2,97,146","7,69,604",37
Turkmenistan,"1,89,657","4,91,210",53
Tuvalu,9.9,25.6,220
Uganda,"93,265","2,41,555",81
Ukraine,"2,33,032","6,03,549",45
United Arab Emirates,"27,423","71,024",115
United Kingdom,"93,630","2,42,500",80
United States of America,"37,97,173","98,34,633",4
United States Virgin Islands,134,348,204
Uruguay,"74,655","1,93,356",91
Uzbekistan,"1,73,349","4,48,971",57
Vanuatu,"4,707","12,190",162
Vatican City,0.17,0.44,223
Venezuela,"3,53,841","9,16,445",33
Vietnam,"1,27,891","3,31,236",67
West Bank12,"2,183","5,655",171
Yemen,"2,03,891","5,28,076",50
Zambia,"2,90,586","7,52,614",39
Zimbabwe,"1,50,872","3,90,757",62
